Yelp Review,Sentiment (Teacher),Sentimemnt (Student Pre-training),Sentiment (Student post Distillation)
"This Hotel is Great!!!  The employees that work here are all wonderful and friendly. The reason for the 1 star is for the RESORT FEE that has now gone up to $28 a night.\nI go to Las Vegas to gamble... I never use any of the so called amenities that this resort fee covers. (Spa, Gym, Pool, Wi-Fi , etc). So, why am I being forced to pay for something I don't use???",negative,neutral,negative
"Very disappointed customer. We spent the weekend here at harrahs And decided that after walking the strip we would see the show \""defending the cave man\"" which was a very funny show... Anyways, I decided that while being Vegas I did not want to show up to this show 30 min ahead of time as suggested , since the seats are ASSIGNED seating.... So I purchased the closest available seats which were around $50 a ticket. The back seats were $40. I paid the difference so I could show up exactly when the show starts and not have to worry about getting good seats... Remember it's ASSIGNED seating... Well guess what, we show up at 7 (starts at 7) and the lady sat us in the back ... So I go back outside and tell her that's not what I paid for. She states (these seats looked comfy for you two) and because my seats were already taken. After enjoying the show I complained to the box office who offered little help, only to refund me the difference of seats I was given... But to do that they had to refund me and charge me again.... (3 days to process) So now I'm down $100 while in Vegas. While In the room I called JOY the hotel manager who explained what they did was not right and would fix the situation.... Well she didn't... She said since my room was bought through American Express credit card they would not help us with any comps or refunds... Also the box office in harrahs hotel is not a part of the harrahs hotel as she stated so she cannot help me with this situation at all. She was nice enough to give me a food and beverage credit to the hotel... But guess what were leaving, so we can't use it... Thanks for nothing. In a jungle full of competitive hotel service, harrahs lost my business. \nAs for the rooms, clean.... But the pillows were hard and the beds were harder. Will not be visiting harrahs in the future.",negative,neutral,negative
"My husband and I have stayed at Harrahs a few times. This time we brought our kids and booked a \""classic\"" 2 queen bed room. This room is actually much quieter and bigger then their \""high roller\"" or \""premium\"" rooms, which is weird. There is no desk but there is a little table with 2 chairs. It's not fully updated but honestly it's not bad at all. I would book this room again if we had a choice of the other rooms. I didn't give 5 stars because the bathroom tub kept dripping water. It wasn't loud or anything but it was a minus.",positive,neutral,negative
"THIS HOTEL SUCKS. We decided to stay an extra night in Vegas and booked a room at the Harrahs because the Harrahs in Lake Tahoe is awesome. This place is the complete opposite. It took 30+ minutes to check in, ~20 minutes to valet and get our bags to the room. This place is extremely understaffed. The toilet didn't work when we finally got to the room and the cups were extremely dirty. Wouldn't stay here again. Ever. On top of that att signal barley works and the damn made came at 9 am knocking on the door. Cars in the parking lot get hit and broken into and all I heard were car alarms all night . This place needs major help. The room was $109 online but with service fees it ended up being $160. Stay somewhere else, anywhere else.",negative,neutral,negative
"This place is an absolute dump! I don't get how this place has so many good reviews!\n\nWe have been to Vegas a few times and decided to try Harrahs. We were told it wasn't fancy but clean...well that's not true! We were in the Mardi Gras tower. The 1st impression when we walked into out room was omg!!! I need to stay somewhere else! There was a heavy perfume smell as we walked in that was so powerful...next my eyes went straight to the bed where there was a big gross stain on the carpet...still I tried to relax and take it all in. There is adjoining doors to the room next to us which you can hear everything happening. To top it off a sticker saying at night please make sure to put the dead bolt on. There was an event on the Saturday and our room was $300 for the night...at that price I decided to complain. They were great about it and got us a new room.\n\nThe new room was still in Mardi Gras tower but had a small balcony and had no odor. The new room was way cleaner and the hallway leading to our room was brightly lit compared to previous room.\n\nThe only great thing about Harrahs is the location which is central to everything. \n\nThe smoke became overwhelming...most casino's have great ventilation. If you don't smoke I highly recommend you don't stay here!\n\nOK next is the spa...they had a pumpkin sugar pedicure for $60 that sounded nice. I went to the spa and they direct me to this little room with two pedicure chairs. This room is painted white with nothing in it. It was literally like a closet. Then as my pedicure is going on I notice the tools are in a dirty old make up box and the lady simply wiped off the tools and put them back in her kit. No disinfectant! I was disappointed and disgusted. The spa was the worst experience I have ever had in a spa.\n\nThey say they offer WiFi, it is so terrible if you need to use WiFi it Wil cost you! The free WiFi barely works.\n \nAfter our stay they refunded the incorrect amount for the deposit on our credit card after many phone calls we decided to cut our losses and forget the $27 they ripped off us. \n\nIn vegas there is so many awesome places to stay Harrahs is not one of them!",negative,neutral,negative
I booked here with a very good deal from expedia and it was on the LV strip. That's why I chose there. It wasn't that bad but if it wasn't on the strip I would look for somewhere else.,neutral,neutral,negative
"Are you grooming your child to become an over pampered trophy wife that has a penance for pink and rhinestones? You are? Well have I got the place for you! Kid's Kastle will ensure that your daughter expects to wear only $20 dollar fake rhinestone emblazoned headbands, $60 dollar tutus, or carry around her very own $100 dollar Hello Kitty suitcase. You can even buy her a set of press on nails that would make a Vegas stripper proud for around $15 bucks. I ensure you they will AT LEAST last until you make it out the Forum Shops!",negative,neutral,negative
UGH!! A Wolfgang Puck Chinese restaurant. Need I say more? I hate PF Chang's and any restaurant(s) resembling it. \n\nTake a good look at the clientele and you'll get an idea what sort of food you're about to eat.\n\nExpensive and not good. Why would anyone even consider eating here?,negative,neutral,negative
"Great food, great service, solid ambiance. We ordered the Valentines Day's wine menu special and it was just an overall fantastic experience. The attention from the wait staff was amazing for as busy as they were and for $125 per person including wine - 6 wines/6 mini-courses - what a great value! They even threw in a round of cocktails while we waited for our table.",positive,neutral,positive
"My boyfriend and I came here for one of his many birthday dinners in Vegas. \n\nWe did not have reservations so we sat at the bar and had a couple of drinks for about 15 minutes before our table was ready. The bar tender was quick to get us our drinks and was very attentive.\n\nWe were sat outside in the mall area. The boyfriend and I are major people watchers and I guess it was prom night for some local high school. We watched countless girls no older than 17 parade around looking like whores. Needless to say we had a good amount of laughs. \n\nThe bread basket was enough food that we didn't need to order appetizers. For two people, it was seriously bread overkill. What I did appreciate was UNSALTED butter offered with a side of coarse sea salt on the side. This is exactly what I do at home. I'm a butter snob and I refuse to touch salted butter unless there are no other available options.\n\nI ordered the spaghettini, which was delicious. Very simple, but done the from-scratch way, therefore perfection.\n\nMy boyfriend ordered the half roasted chicken on mashed potatoes. His was very simple but also delicious. \n\nI love restaurants like Spago, that offer some really classic and simple dishes but made with high quality ingredients with very high standards. The potions were large as well and well priced. There are other things on the menu I'd like to try, so I suppose on my next Vegas trip I'll be stopping in again.",positive,neutral,negative
