Yelp Review,Sentiment (Teacher),Sentimemnt (Student Pre-training),Sentiment (Student post Distillation)
"My husband and I have stayed at Harrahs a few times. This time we brought our kids and booked a \""classic\"" 2 queen bed room. This room is actually much quieter and bigger then their \""high roller\"" or \""premium\"" rooms, which is weird. There is no desk but there is a little table with 2 chairs. It's not fully updated but honestly it's not bad at all. I would book this room again if we had a choice of the other rooms. I didn't give 5 stars because the bathroom tub kept dripping water. It wasn't loud or anything but it was a minus.",positive,neutral,negative
I booked here with a very good deal from expedia and it was on the LV strip. That's why I chose there. It wasn't that bad but if it wasn't on the strip I would look for somewhere else.,neutral,neutral,negative
"My boyfriend and I came here for one of his many birthday dinners in Vegas. \n\nWe did not have reservations so we sat at the bar and had a couple of drinks for about 15 minutes before our table was ready. The bar tender was quick to get us our drinks and was very attentive.\n\nWe were sat outside in the mall area. The boyfriend and I are major people watchers and I guess it was prom night for some local high school. We watched countless girls no older than 17 parade around looking like whores. Needless to say we had a good amount of laughs. \n\nThe bread basket was enough food that we didn't need to order appetizers. For two people, it was seriously bread overkill. What I did appreciate was UNSALTED butter offered with a side of coarse sea salt on the side. This is exactly what I do at home. I'm a butter snob and I refuse to touch salted butter unless there are no other available options.\n\nI ordered the spaghettini, which was delicious. Very simple, but done the from-scratch way, therefore perfection.\n\nMy boyfriend ordered the half roasted chicken on mashed potatoes. His was very simple but also delicious. \n\nI love restaurants like Spago, that offer some really classic and simple dishes but made with high quality ingredients with very high standards. The potions were large as well and well priced. There are other things on the menu I'd like to try, so I suppose on my next Vegas trip I'll be stopping in again.",positive,neutral,negative
"Came Thanksgiving weekend to watch the Sting concert at the Colosseum. After the concert, we decided to grab a bite at Spago's. Surprisingly, we only ordered two entrees (Those who know me well, know that I usually go ALL out and order a few appetizers, entrees, and desserts. My eyes are ALWAYS bigger than my stomach!). \n\nThe bolognese pasta with fresh ricotta cheese was oh-so yummy. I usually don't order meat sauces because I can make that stuff anytime at home...However, I'm glad I ordered this entree, which was cooked al dente and the amount of sauce didn't overpower the pasta itself. The portion was reasonable too.\n\nThe fairly thin-crusted prosciutto pizza with baby arugula was yummy too! The prosciutto tasted fresh and not dried out. Only request I have is if there was more prosciutto on the pizza!!! LOVE, LOVE prosciutto!\n\nThe complimentary bread and crackers were delish too...the onion bread was good to dip into my pasta dish.\n\nThese two entrees including tax came out to exactly $40. \n\nWill come again!",positive,neutral,negative
"Spectacular food and service. We started with the blue shrimp salad which was prepared with an orange sauce - out of this world! My wife had the veal and I had the ahi tuna, both were marvelously presented and tasted phenomenal. Eat bite was savored. We pair our meals with the four vine Chardonnay (meat), and the Pinot noir (fish). Great choices. For dessert we had the apple crumble prepared in a bourbon sauce. That was the only part of the meal we would only give four stars. Everything else was five star.\n\nThe one drawback was the overwhelming noisy atmosphere. Might be their design intention though. We would recommend!",positive,neutral,negative
"In my 8 years living in Las Vegas, I never had a chance to try Spago. I view it as a bit out of price range, so when their 20 Year Anniversary came up with roll-back pricing, I had to try it. Went last night with my date, and we asked the assistant GM Drew to pick our food. Here's what he picked, and my thoughts on each:\n\nSignature Roasted Beet Goat Cheese Salad\nI never would have ordered this but it was delicious.\n\nHouse Smoked Sturgeon, Crisp Potato Galette, Horseradish Cream - $12\nIt was like a spicy latke with fish on top. Really good.\n\n\n\""Chinois Style\"" Colorado Lamb Chops, Cilantro Mint Vinaigrette, Sweet & Sour Eggplant - $33\nTender and delicious even without the sauce. Eggplant was so good my date and I couldn't figure out if it was eggplant!\n\nCantonese Style Roasted Duck with Wild Huckleberries, Ginger and Stir-Fried Baby Bok Choy - $20\nHuge and delicious, and unexpected as we thought we were only getting 1 main course to share. Needless to say we had plenty of leftovers.\n\nEven with the discount I spent a bit more than I had hoped, but everything was delicious and the service was great, as well. Oh, and they have an amazing bread platter. Wish I was hungrier and got to try more of that!\n\nThanks, Drew W & Scott G!",positive,neutral,negative
"Came here with hubs and the inlaws. OMG. Everything was amazing and everyone loved their food! Service was awesome and the chef even came by to check on us.\n\nWild mushroom risotto...mmmmmmmm!!!! My lamb chops were killer. Even the sun dried tomatoes were tasty and fresh. Hubs got the duck breast....ohhhh...myyyyy.....GAWD! My father-in-law's New York steak, even though he likes med well and I'm a med rare person, was still delicious. Mom-in-law got some fish dish, and I don't eat seafood but her plate was empty, so she obviously loved it. We shared the chocolate layer cake dessert which came with some salted caramel gelato...yum!\n\nWe were hurtin' so good afterward! This place is a must on our next trip to Vegas. One of the best dinners ever!!!",positive,neutral,negative
"Bah, a better word for this place would be \""SALT.\""\n\nFrom the salt covered butter that's served with the bread, to the salt drenched salad, arriving at the salty, uninspiring pepperoni pizza, all I could taste was salt. \n\nIt gets two stars simply for the servers, who were awesome and kind people. At least the water they provided was salt-less and helped re-hydrate me.",negative,neutral,positive
"i dont know if im super spoiled from eating in san francisco all the time or what. but i thought this place was terrible. as soon as i got in, you could definitely sense some attitude from the servers. if the food is good, i really wouldn't mind or care. i ordered the scallop special as a starter and got a sweet potato tortelloni with shortribs from their tasting menu. was also able to try stuff off their regular menu such as the pork, veal, salmon and desserts. the food was very underwhelming. i usually spare no expense when it comes to food, and pay very little attention to my bills usually. but this place was just ridiculous. it was marked up because of its vegas location. even without the markups, the food would have been nowhere near worth the price. \n\nthe flavors were very bland and did not contrast well as i would expect fine foods to. there was nothing surprising about the flavors out of every dish i tried. actually, there were even parts of my pasta that were not fully cooked. im a huge fan of the al dente, but hard pasta is not good in my opinion. maybe i went on an off night. food aside, having the staff trying to push every little charge on you isnt my idea of a nice experience.\n\nin addition, my friend asked for sorbet for dessert. they gave her 2 or 3 scoops of fruit sorbet for $16.....i don't know about that.",negative,neutral,positive
"There seems to be only one listing for this place here on Yelp, but to be accurate (as some others have noted) there are two places, the fancier and pricier Valentino and the more casual and cheaper Grill @ Valentino, we were considering taking in the fine dining option, but after viewing the menu, we just weren't feeling anything, so we went with the grill.\n\nService was a bit spotty, our waiter brought our water and immediately asked about our wine selection, before we had gotten a chance to view the list. Then, after bringing us our appetizer and salad course, was nowhere to be found when we wanted to order entrees. \n\nThe food, however, was very good. This place boasts one the best alfredo sauces I've had on the strip, and while it's not a particularly fancy option, it's something that many places don't do that well. Caesar salad was crisp and light and everything was generally what you'd expect from a casual italian place",positive,neutral,negative
