model_name,skill_type,dataset_size,ROUGE-1-F1,ROUGE-L-F1,ROUGE-1-Recall,ROUGE-L-Recall,BERTScore-Recall,BERTScore-F1,CosineSimilarity,SBC-Score,SBC-SemanticScore,SBC-CompletenessScore,SBC-CosineScore
t5-small,summarization,100,0.3168732201300991,0.22790341725260446,0.34667034453156403,0.24974723943461913,0.8563736772537232,0.8634754014015198,0.5892642,0.5308419466018677,0.8634754014015198,0.16004725899392747,0.5892642140388489
eprasad/t5-small-llama70b-distill-summarization,summarization,100,0.30091724956008276,0.21830024886790647,0.4608405322286218,0.3375791771505767,0.8705643171072006,0.8610154610872268,0.62964463,0.5574662685394287,0.8610154610872268,0.15306729684308656,0.6296446323394775
eprasad/t5-small-qwen3-distill-summarization,summarization,100,0.28965939703939847,0.19961088762942913,0.4386102466839439,0.30453313130917725,0.8677753496170044,0.8590610438585281,0.628604,0.5542492270469666,0.8590610438585281,0.14160185146024465,0.628603994846344
AhilanPonnusamy/distilled-t5small-summarizer,summarization,100,0.324416885357518,0.2522806359186685,0.3278175784357062,0.2534075263207407,0.859243066906929,0.869640771150589,0.6207363,0.5565378665924072,0.869640771150589,0.17529253060992578,0.620736300945282
,,,,,,,,,,
,,,,,,,,
t5-small,summarization,100,0.3168732201300991,0.22790341725260446,0.34667034453156403,0.24974723943461913,0.8563736766576767,0.8634754002094269,0.5892642,0.4490956322602925,0.5892642483115196,0.1678305915531841,0.030445401315919905
eprasad/t5-small-llama70b-distill-summarization,summarization,100,0.30091724956008276,0.21830024886790647,0.4608405322286218,0.3375791771505767,0.8705643171072006,0.8610154610872268,0.62964463,0.48082513557891204,0.6296446667611599,0.17434434323946246,0.05205000198207623
eprasad/t5-small-qwen3-distill-summarization,summarization,100,0.28965939703939847,0.19961088762942913,0.4386102466839439,0.30453313130917725,0.8677753496170044,0.8590610438585281,0.628604,0.47602977955128595,0.6286039756238461,0.15898709250687124,0.04209578113219473
AhilanPonnusamy/distilled-t5small-summarizer,summarization,100,0.324416885357518,0.2522806359186685,0.3278175784357062,0.2534075263207407,0.859243066906929,0.869640771150589,0.6207363,0.4777553814695438,0.6207362404465675,0.19741859212609797,0.037562947317269633
