model_name,skill_type,dataset_size,ROUGE-1-F1,ROUGE-L-F1,ROUGE-1-Recall,ROUGE-L-Recall,BERTScore-Recall,BERTScore-F1,CosineSimilarity,SBC-Score,SBC-SemanticScore,SBC-CompletenessScore,SBC-CosineScore
t5-small,summarization,100,0.3168732201300991,0.22790341725260446,0.34667034453156403,0.24974723943461913,0.8563736766576767,0.8634754002094269,0.5892642,0.6953687071800232,0.8634754002094269,0.16004725899392747,0.5892642140388489
eprasad/t5-small-llama70b-distill-summarization,summarization,100,0.30091724956008276,0.21830024886790647,0.4608405322286218,0.3375791771505767,0.8705643171072006,0.8610154610872268,0.62964463,0.6962887644767761,0.8610154610872268,0.15306729684308656,0.6296446323394775
eprasad/t5-small-qwen3-distill-summarization,summarization,100,0.28965939703939847,0.19961088762942913,0.4386102466839439,0.30453313130917725,0.8677753496170044,0.8590610438585281,0.628604,0.6925234198570251,0.8590610438585281,0.14160185146024465,0.628603994846344
AhilanPonnusamy/distilled-t5small-summarizer,summarization,100,0.324416885357518,0.2522806359186685,0.3278175784357062,0.2534075263207407,0.859243068099022,0.8696407717466355,0.6207363,0.7058806419372559,0.8696407717466355,0.17529253060992578,0.620736300945282
t5-small,summarization,200,0.2937426679997663,0.21172951403250753,0.3210166518152272,0.23181587482391458,0.8523127076029777,0.8589407262206078,0.5691729,0.6865041255950928,0.8589407262206078,0.1416415367590652,0.5691729187965393
eprasad/t5-small-llama70b-distill-summarization,summarization,200,0.2894334109744643,0.20494544188580238,0.4329117406237032,0.30887741774944893,0.8663896447420121,0.8589359083771706,0.6154907,0.6916972398757935,0.8589359083771706,0.14446506090042704,0.6154906749725342
eprasad/t5-small-qwen3-distill-summarization,summarization,200,0.27434384347936797,0.18588514790988953,0.41079158172782443,0.27944830692757283,0.8629424369335175,0.8554386308789254,0.6065627,0.6856343150138855,0.8554386308789254,0.13085507522365186,0.6065626740455627
AhilanPonnusamy/distilled-t5small-summarizer,summarization,200,0.30993427806657065,0.2320583214664724,0.31814210856833985,0.23729197386220663,0.8569607904553413,0.8660682192444802,0.606808,0.6994003057479858,0.8660682192444802,0.1623589393830587,0.6068080067634583
t5-small,summarization,300,0.29413746179859174,0.2135032525037353,0.32137820249659316,0.23370605153066693,0.8534081182877222,0.8599095038572947,0.56741214,0.6874441504478455,0.8599095038572947,0.14383149056236882,0.5674121379852295
eprasad/t5-small-llama70b-distill-summarization,summarization,300,0.28717450527886296,0.20190430029189976,0.42639742336738257,0.30135257260440407,0.8656512596209844,0.8583587857087454,0.6120886,0.6908794045448303,0.8583587857087454,0.14409708348314132,0.6120886206626892
eprasad/t5-small-qwen3-distill-summarization,summarization,300,0.277918998449036,0.19026147060535747,0.41617235010610654,0.28549970574009914,0.863974146048228,0.8562898437182108,0.60377085,0.686684787273407,0.8562898437182108,0.13452370392790025,0.6037708520889282
AhilanPonnusamy/distilled-t5small-summarizer,summarization,300,0.30475642215932575,0.22790895826029375,0.30886677132152585,0.23037882779264796,0.8568185339371364,0.8660386798779169,0.6053473,0.698538601398468,0.8660386798779169,0.15888391613355593,0.6053472757339478
t5-small,summarization,400,0.29943345294926016,0.21781443802661166,0.3261067403649514,0.23771368473179538,0.8539796723425388,0.8605269050598144,0.57154393,0.6892873644828796,0.8605269050598144,0.1488205258391048,0.5715439319610596
eprasad/t5-small-llama70b-distill-summarization,summarization,400,0.29107636118486463,0.20259682429360637,0.43364595927163746,0.3031957481107493,0.8668239423632622,0.8592100942134857,0.61656684,0.6925182938575745,0.8592100942134857,0.14707255690807386,0.6165668368339539
eprasad/t5-small-qwen3-distill-summarization,summarization,400,0.2829475607015421,0.19275515939347954,0.4251848369922548,0.29060390433433475,0.8652221730351448,0.8570266059041023,0.6048657,0.6879703998565674,0.8570266059041023,0.1378260631537537,0.6048656702041626
AhilanPonnusamy/distilled-t5small-summarizer,summarization,400,0.30530792762740594,0.22666118430141907,0.30988552343980486,0.22941448816886506,0.8567712840437889,0.8657451677322388,0.60850257,0.6985189914703369,0.8657451677322388,0.15823525105964648,0.6085025668144226
t5-small,summarization,500,0.29381483382925133,0.215356618158336,0.3211986003861838,0.236044233196194,0.8533647367954255,0.8596668872833252,0.5639653,0.6869933009147644,0.8596668872833252,0.1441496495947914,0.5639653205871582
