model_name,skill_type,dataset_size,prompt_template,ROUGE-1-F1,ROUGE-L-F1,ROUGE-1-Recall,ROUGE-L-Recall,BERTScore-Recall,BERTScore-F1,CosineSimilarity,SBC-Score,SBC-SemanticScore,SBC-CompletenessScore,SBC-CosineScore
t5-small,summarization,100,summarize: {text},0.3107,0.2305,0.3303,0.2448,0.8545,0.8634,0.5756,0.6924,0.8634,0.1521,0.5756
eprasad/t5-small-llama70b-distill-summarization,summarization,100,summarize: {text},0.3004,0.2181,0.4398,0.3208,0.8685,0.8616,0.6233,0.6954,0.8616,0.1496,0.6233
eprasad/t5-small-qwen3-distill-summarization,summarization,100,summarize: {text},0.3047,0.2181,0.4335,0.3112,0.8674,0.861,0.6195,0.694,0.861,0.1469,0.6195
AhilanPonnusamy/distilled-t5small-summarizer,summarization,100,summarize: {text},0.3217,0.2481,0.3134,0.2407,0.8571,0.8694,0.6074,0.7034,0.8694,0.1704,0.6074
ooor/t5-small-distilled-summarization,summarization,100,summarize: {text},0.3018,0.2288,0.3211,0.2439,0.8556,0.8622,0.5776,0.6922,0.8622,0.1548,0.5776
t5-small,summarization,200,summarize: {text},0.2956,0.2171,0.3169,0.2327,0.8523,0.8599,0.563,0.686,0.8599,0.1391,0.563
eprasad/t5-small-llama70b-distill-summarization,summarization,200,summarize: {text},0.2857,0.2014,0.4122,0.2919,0.8636,0.8582,0.6075,0.689,0.8582,0.1376,0.6075
eprasad/t5-small-qwen3-distill-summarization,summarization,200,summarize: {text},0.2817,0.1953,0.3988,0.2771,0.8623,0.8567,0.5932,0.6854,0.8567,0.1319,0.5932
AhilanPonnusamy/distilled-t5small-summarizer,summarization,200,summarize: {text},0.2995,0.2239,0.2882,0.2152,0.8535,0.8654,0.5935,0.6965,0.8654,0.157,0.5935
ooor/t5-small-distilled-summarization,summarization,200,summarize: {text},0.2896,0.211,0.3064,0.2243,0.8546,0.8606,0.5755,0.6894,0.8606,0.1469,0.5755
t5-small,summarization,300,summarize: {text},0.2912,0.2159,0.3117,0.2317,0.8524,0.8602,0.5586,0.6856,0.8602,0.1376,0.5586
eprasad/t5-small-llama70b-distill-summarization,summarization,300,summarize: {text},0.2877,0.2022,0.4105,0.2893,0.8635,0.8584,0.6065,0.6896,0.8584,0.1406,0.6065
eprasad/t5-small-qwen3-distill-summarization,summarization,300,summarize: {text},0.2826,0.1955,0.4,0.2768,0.8628,0.8571,0.5939,0.6864,0.8571,0.135,0.5939
AhilanPonnusamy/distilled-t5small-summarizer,summarization,300,summarize: {text},0.2925,0.2195,0.2807,0.2104,0.8533,0.8648,0.5892,0.6945,0.8648,0.1507,0.5892
ooor/t5-small-distilled-summarization,summarization,300,summarize: {text},0.2853,0.2076,0.3019,0.2205,0.8544,0.8607,0.5778,0.6892,0.8607,0.1446,0.5778
t5-small,summarization,400,summarize: {text},0.2967,0.2189,0.315,0.2327,0.8528,0.8607,0.5614,0.6872,0.8607,0.1427,0.5614
eprasad/t5-small-llama70b-distill-summarization,summarization,400,summarize: {text},0.292,0.2034,0.4189,0.2925,0.8651,0.8594,0.6112,0.6916,0.8594,0.1446,0.6112
eprasad/t5-small-qwen3-distill-summarization,summarization,400,summarize: {text},0.2874,0.1991,0.4086,0.2833,0.8641,0.858,0.5981,0.6883,0.858,0.1391,0.5981
AhilanPonnusamy/distilled-t5small-summarizer,summarization,400,summarize: {text},0.2949,0.2208,0.282,0.2111,0.8535,0.865,0.5927,0.6951,0.865,0.1516,0.5927
ooor/t5-small-distilled-summarization,summarization,400,summarize: {text},0.2936,0.2143,0.3102,0.2275,0.8552,0.8616,0.5848,0.6915,0.8616,0.1494,0.5848
t5-small,summarization,500,summarize: {text},0.2898,0.2157,0.3094,0.2306,0.8517,0.8595,0.5505,0.6842,0.8595,0.1378,0.5505
eprasad/t5-small-llama70b-distill-summarization,summarization,500,summarize: {text},0.2829,0.1971,0.4049,0.2827,0.8628,0.8577,0.6023,0.6881,0.8577,0.1373,0.6023
eprasad/t5-small-qwen3-distill-summarization,summarization,500,summarize: {text},0.2809,0.1942,0.3978,0.275,0.8624,0.8568,0.5913,0.6856,0.8568,0.1336,0.5913
AhilanPonnusamy/distilled-t5small-summarizer,summarization,500,summarize: {text},0.2861,0.2133,0.2755,0.2054,0.8525,0.8635,0.5837,0.6918,0.8635,0.1449,0.5837
ooor/t5-small-distilled-summarization,summarization,500,summarize: {text},0.2877,0.209,0.3037,0.2216,0.8542,0.8608,0.5804,0.6893,0.8608,0.1438,0.5804
t5-small,summarization,600,summarize: {text},0.2876,0.2138,0.308,0.2293,0.8517,0.8591,0.5469,0.6834,0.8591,0.1366,0.5469
eprasad/t5-small-llama70b-distill-summarization,summarization,600,summarize: {text},0.2815,0.196,0.4064,0.2836,0.8629,0.8574,0.598,0.6872,0.8574,0.136,0.598
eprasad/t5-small-qwen3-distill-summarization,summarization,600,summarize: {text},0.2775,0.1903,0.396,0.2719,0.8616,0.8558,0.585,0.6838,0.8558,0.1312,0.585
AhilanPonnusamy/distilled-t5small-summarizer,summarization,600,summarize: {text},0.2845,0.2124,0.2765,0.2065,0.8528,0.8633,0.5807,0.6912,0.8633,0.144,0.5807
ooor/t5-small-distilled-summarization,summarization,600,summarize: {text},0.2865,0.2072,0.305,0.2216,0.8542,0.8604,0.5754,0.6886,0.8604,0.1439,0.5754
t5-small,summarization,700,summarize: {text},0.2876,0.2134,0.3106,0.2308,0.8522,0.8592,0.5474,0.6837,0.8592,0.1374,0.5474
eprasad/t5-small-llama70b-distill-summarization,summarization,700,summarize: {text},0.2819,0.1961,0.4085,0.2847,0.8632,0.8574,0.5996,0.6873,0.8574,0.1357,0.5996
eprasad/t5-small-qwen3-distill-summarization,summarization,700,summarize: {text},0.278,0.1913,0.3989,0.2747,0.862,0.856,0.5871,0.6843,0.856,0.1316,0.5871
AhilanPonnusamy/distilled-t5small-summarizer,summarization,700,summarize: {text},0.2872,0.2133,0.2808,0.2084,0.8532,0.8634,0.5854,0.6924,0.8634,0.147,0.5854
ooor/t5-small-distilled-summarization,summarization,700,summarize: {text},0.2875,0.2083,0.3089,0.2247,0.8545,0.8604,0.5766,0.6888,0.8604,0.1445,0.5766
t5-small,summarization,800,summarize: {text},0.2844,0.2111,0.3084,0.2293,0.8522,0.8591,0.5452,0.6831,0.8591,0.1359,0.5452
eprasad/t5-small-llama70b-distill-summarization,summarization,800,summarize: {text},0.2783,0.1939,0.4035,0.2821,0.8626,0.8569,0.5971,0.6862,0.8569,0.1333,0.5971
eprasad/t5-small-qwen3-distill-summarization,summarization,800,summarize: {text},0.2739,0.1887,0.3942,0.2721,0.8615,0.8556,0.586,0.6833,0.8556,0.1291,0.586
AhilanPonnusamy/distilled-t5small-summarizer,summarization,800,summarize: {text},0.2858,0.2125,0.2816,0.2093,0.8533,0.8632,0.5813,0.6916,0.8632,0.146,0.5813
ooor/t5-small-distilled-summarization,summarization,800,summarize: {text},0.2862,0.2072,0.3086,0.2244,0.8544,0.8602,0.5723,0.6882,0.8602,0.1438,0.5723
t5-small,summarization,900,summarize: {text},0.2822,0.2086,0.3048,0.2259,0.8515,0.8586,0.5445,0.6824,0.8586,0.1345,0.5445
eprasad/t5-small-llama70b-distill-summarization,summarization,900,summarize: {text},0.2788,0.194,0.4022,0.2806,0.8623,0.8567,0.5958,0.6861,0.8567,0.1339,0.5958
eprasad/t5-small-qwen3-distill-summarization,summarization,900,summarize: {text},0.2744,0.1888,0.3928,0.2708,0.8613,0.8555,0.5862,0.6835,0.8555,0.13,0.5862
AhilanPonnusamy/distilled-t5small-summarizer,summarization,900,summarize: {text},0.2834,0.2101,0.2788,0.2067,0.8526,0.8626,0.5797,0.6908,0.8626,0.145,0.5797
ooor/t5-small-distilled-summarization,summarization,900,summarize: {text},0.2855,0.2062,0.3066,0.2224,0.8538,0.8598,0.5709,0.6877,0.8598,0.1436,0.5709
